ORIGINAL_FILENAME:c4LfM4A13xMTpUWUW%%g8%Qba35Di5%gnlcFeXdKbDw=.dat
idx,grade,option_value,position,rune_price,key_price,set_number,rate,version
4010,4,2,10,"{""idx"": 146, ""count"": ""40""}","{""idx"": 2, ""count"": ""800""}",0,10000,1.0.0
5001,5,2,1,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5002,5,2,2,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5003,5,2,3,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5004,5,2,4,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5005,5,2,5,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5006,5,2,6,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5007,5,2,7,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5008,5,2,8,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5009,5,2,9,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
5010,5,2,10,"{""idx"": 146, ""count"": ""100""}","{""idx"": 2, ""count"": ""2000""}",0,10000,1.0.0
6001,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6002,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6003,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6004,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6005,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6006,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6007,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6008,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6009,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6010,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",0,8754,1.0.0
6011,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6012,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6013,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6014,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6015,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6016,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6017,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6018,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6019,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6020,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",1,178,1.0.0
6021,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6022,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6023,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6024,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6025,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6026,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6027,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6028,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6029,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6030,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",2,178,1.0.0
6031,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6032,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6033,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6034,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6035,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6036,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6037,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6038,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6039,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6040,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",3,178,1.0.0
6041,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6042,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6043,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6044,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6045,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6046,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6047,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6048,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6049,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6050,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",4,178,1.0.0
6051,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6052,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6053,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6054,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6055,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6056,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6057,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6058,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6059,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6060,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",5,178,1.0.0
6061,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6062,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6063,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6064,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6065,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6066,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6067,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6068,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6069,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6070,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",6,178,1.0.0
6071,6,3,1,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6072,6,3,2,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6073,6,3,3,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6074,6,3,4,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6075,6,3,5,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6076,6,3,6,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6077,6,3,7,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6078,6,3,8,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6079,6,3,9,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
6080,6,3,10,"{""idx"": 146, ""count"": ""150""}","{""idx"": 2, ""count"": ""3000""}",7,178,1.0.0
7001,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7002,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7003,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7004,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7005,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7006,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7007,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7008,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7009,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7010,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",0,7501,1.0.0
7011,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7012,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7013,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7014,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7015,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7016,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7017,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7018,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7019,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7020,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",1,357,1.0.0
7021,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7022,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7023,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7024,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7025,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7026,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7027,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7028,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7029,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7030,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",2,357,1.0.0
7031,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7032,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7033,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7034,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7035,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7036,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7037,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7038,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7039,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7040,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",3,357,1.0.0
7041,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7042,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7043,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7044,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7045,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7046,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7047,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7048,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7049,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7050,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",4,357,1.0.0
7051,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7052,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7053,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7054,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7055,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7056,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7057,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7058,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7059,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7060,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",5,357,1.0.0
7061,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7062,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7063,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7064,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7065,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7066,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7067,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7068,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7069,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7070,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",6,357,1.0.0
7071,7,3,1,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7072,7,3,2,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7073,7,3,3,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7074,7,3,4,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7075,7,3,5,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7076,7,3,6,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7077,7,3,7,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7078,7,3,8,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7079,7,3,9,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
7080,7,3,10,"{""idx"": 146, ""count"": ""300""}","{""idx"": 2, ""count"": ""6000""}",7,357,1.0.0
8001,8,3,1,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8002,8,3,2,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8003,8,3,3,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8004,8,3,4,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8005,8,3,5,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8006,8,3,6,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8007,8,3,7,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8008,8,3,8,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8009,8,3,9,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8010,8,3,10,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",0,4995,1.0.0
8011,8,3,1,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",1,715,1.0.0
8012,8,3,2,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",1,715,1.0.0
8013,8,3,3,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",1,715,1.0.0
8014,8,3,4,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",1,715,1.0.0
8015,8,3,5,"{""idx"": 146, ""count"": ""1000""}","{""idx"": 2, ""count"": ""20000""}",1,715,1.0.0
